Station Name,Venue Name,Distance,Primary Category
Donauspital U2,Donautreff,103,BBQ Joint
Donauspital U2,Cafe Paracelsus,168,Café
Donauspital U2,Club der Kaffeefreunde des GZD im SMZ Ost,267,Café
Donauspital U2,Restaurant Jussi Kocher GmbH,344,Dining and Drinking
Donauspital U2,Буфет,353,Buffet
Donauspital U2,Schönes China,478,Chinese Restaurant
Donauspital U2,Donna Bella,497,Turkish Restaurant
Erzherzog-Karl-Straße S,Hendlkönig,193,Diner
Erzherzog-Karl-Straße S,Pera Cafe,197,Breakfast Spot
Erzherzog-Karl-Straße S,Pera Kebap,204,Buffet
Erzherzog-Karl-Straße S,Pizzeria Pronto,214,Pizzeria
Erzherzog-Karl-Straße S,Coffee garden,221,Cafeteria
Erzherzog-Karl-Straße S,Call Pizza,233,Pizzeria
Erzherzog-Karl-Straße S,Morvarid Pizza Kebab,246,Doner Restaurant
Erzherzog-Karl-Straße S,Nori,265,Asian Restaurant
Erzherzog-Karl-Straße S,Merkur Restaurant,266,Dining and Drinking
Erzherzog-Karl-Straße S,Hillinger,305,Diner
Hausfeldstraße S U,Ströck,38,Bakery
Hausfeldstraße S U,Fu Yang,73,Chinese Restaurant
Hausfeldstraße S U,Cafe Kaiser,79,Café
Pirquetgasse,M&P Lounge Cafe,213,Café
Pirquetgasse,Laguna am Ziegelhofteich,389,Café
Pirquetgasse,Gasthaus Hansi,443,Inn
Rennbahnweg U1,Geier. Die Bäckerei GmbH,6,Bakery
Rennbahnweg U1,Geier - Die Ideenbäckerei,42,Bakery
Rennbahnweg U1,Schnitzel & Pizza World Ilic,82,Burger Joint
Rennbahnweg U1,Salon Steaks & Ribs,163,American Restaurant
Rennbahnweg U1,Lucky Wok,389,Asian Restaurant
Stadlau U 2,L'Angelo Bello,258,Pizzeria
Stadlau U 2,McDonald's,371,Burger Joint
Stadlau U 2,Asia Restaurant Lou Wai Lou,391,Asian Restaurant
Stadlau U 2,Leopold Selitsch,406,Café
VIC Kaisermühlen U1,Ewok,64,Asian Restaurant
VIC Kaisermühlen U1,Restaurant UNO,77,Dining and Drinking
VIC Kaisermühlen U1,U Snack,108,Snack Place
VIC Kaisermühlen U1,Lunchtime 22,118,Dining and Drinking
VIC Kaisermühlen U1,Coffee Lounge im Tech Gate,124,Café
VIC Kaisermühlen U1,Coffee Lounge,140,Café
VIC Kaisermühlen U1,Fat Monk,152,Salad Restaurant
VIC Kaisermühlen U1,UNC Restaurant,172,Austrian Restaurant
VIC Kaisermühlen U1,Cafe Archiv,173,Café
VIC Kaisermühlen U1,Ströck Filiale,199,Bakery
Kagraner Platz U1,Pizzeria Fantastica,34,Pizzeria
Kagraner Platz U1,Myooi,53,Asian Restaurant
Kagraner Platz U1,Noodle King,67,Noodle Restaurant
Kagraner Platz U1,Nöbauer,84,Bakery
Kagraner Platz U1,Nöbauer U-Bahnstation,96,Bakery
Kagraner Platz U1,Culinari,103,Asian Restaurant
Kagraner Platz U1,Domino's Pizza,124,Pizzeria
Kagraner Platz U1,Felber,143,Bakery
Kagraner Platz U1,Schitzl Land,146,Food Court
Kagraner Platz U1,Döner Wow,150,Turkish Restaurant
